LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.093034744	2.26087212563	0	26.425	14.350762174881165	69.0	8.0	26.425	14.350762174881165	1057	1057
0.037399292	3.02708601952	1	30.727272727272727	14.730452331660313	70.0	11.0	30.727272727272727	14.730452331660313	1014	2071
0.123319626	3.74755620956	2	30.0	17.596791151330102	100.0	10.0	30.0	17.596791151330102	1020	3091
-0.005411148	4.5671942234	3	26.225	10.152555097117178	56.0	12.0	26.225	10.152555097117178	1049	4140
-1.5258789e-05	5.31973314285	4	27.324324324324323	11.253957992164727	55.0	12.0	27.324324324324323	11.253957992164727	1011	5151
0.021434784	6.0715470314	5	32.87096774193548	14.26871591637402	67.0	12.0	32.87096774193548	14.26871591637402	1019	6170
0.02499199	6.84096121788	6	33.43333333333333	16.404640264944007	71.0	13.0	33.43333333333333	16.404640264944007	1003	7173
0.0591259	7.59573721886	7	35.51724137931034	12.00465625082021	62.0	15.0	35.51724137931034	12.00465625082021	1030	8203
0.051193237	8.38734602928	8	35.827586206896555	16.911675145962576	73.0	12.0	35.827586206896555	16.911675145962576	1039	9242
-0.017255783	9.09717512131	9	34.6551724137931	15.625522583413211	72.0	11.0	34.6551724137931	15.625522583413211	1005	10247
0.007068634	9.83232402802	10	37.214285714285715	17.21161805056013	77.0	12.0	37.214285714285715	17.21161805056013	1042	11289
0.027618408	10.5876832008	11	39.5	23.419666292045438	110.0	11.0	39.5	23.419666292045438	1027	12316
-0.0055122375	11.3317201138	12	40.48	20.260542934482284	112.0	17.0	40.48	20.260542934482284	1012	13328
0.04467392	12.0877439976	13	46.09090909090909	18.45364977674185	110.0	19.0	46.09090909090909	18.45364977674185	1014	14342
-0.017173767	12.9505801201	14	45.458333333333336	23.695954589104208	113.0	15.0	45.458333333333336	23.695954589104208	1091	15433
0.027061462	13.722135067	15	50.6	25.154323684011064	130.0	16.0	50.6	25.154323684011064	1012	16445
0.045204163	14.4839780331	16	48.285714285714285	24.65986300727186	106.0	21.0	48.285714285714285	24.65986300727186	1014	17459
0.061527252	15.246748209	17	51.3	23.35187358650265	99.0	24.0	51.3	23.35187358650265	1026	18485
0.017036438	16.0420532227	18	48.57142857142857	25.2408803494713	128.0	18.0	48.57142857142857	25.2408803494713	1020	19505
0.017045975	16.7775201797	19	42.333333333333336	18.427033281447006	92.0	14.0	42.333333333333336	18.427033281447006	1016	20521
0.0016822815	17.5436811447	20	50.04761904761905	25.84657330235331	105.0	20.0	50.04761904761905	25.84657330235331	1051	21572
0.03799057	18.3050000668	21	59.35294117647059	34.700298653521685	183.0	22.0	59.35294117647059	34.700298653521685	1009	22581
0.03055954	19.079608202	22	56.111111111111114	25.381289891240947	134.0	30.0	56.111111111111114	25.381289891240947	1010	23591
0.0030002594	19.8458530903	23	45.130434782608695	16.211387162239003	85.0	14.0	45.130434782608695	16.211387162239003	1038	24629
0.04024887	20.5615801811	24	63.6875	42.67862279584476	200.0	18.0	63.6875	42.67862279584476	1019	25648
-0.013881683	21.299737215	25	46.36363636363637	15.23914055840019	75.0	18.0	46.36363636363637	15.23914055840019	1020	26668
0.031700134	22.1596691608	26	60.11764705882353	30.99882797204014	151.0	27.0	60.11764705882353	30.99882797204014	1022	27690
